name	display_name	function_flags	group	input_names	output_flags	output_names	parameters
CDLPIERCING	Piercing Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLRICKSHAWMAN	Rickshaw Man	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLRISEFALL3METHODS	Rising/Falling Three Methods	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLSEPARATINGLINES	Separating Lines	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLSHOOTINGSTAR	Shooting Star	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLSHORTLINE	Short Line Candle	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLSPINNINGTOP	Spinning Top	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLSTALLEDPATTERN	Stalled Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLSTICKSANDWICH	Stick Sandwich	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLTAKURI	Takuri (Dragonfly Doji with very long lower shadow)	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLTASUKIGAP	Tasuki Gap	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLTHRUSTING	Thrusting Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLTRISTAR	Tristar Pattern	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLUNIQUE3RIVER	Unique 3 River	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLUPSIDEGAP2CROWS	Upside Gap Two Crows	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
CDLXSIDEGAP3METHODS	Upside/Downside Gap Three Methods	['Output is a candlestick']	Pattern Recognition	OrderedDict([('prices', ['open', 'high', 'low', 'close'])])	OrderedDict([('integer', ['Line'])])	['integer']	OrderedDict()
AD	Chaikin A/D Line		Volume Indicators	OrderedDict([('prices', ['high', 'low', 'close', 'volume'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
ADOSC	Chaikin A/D Oscillator		Volume Indicators	OrderedDict([('prices', ['high', 'low', 'close', 'volume'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict([('fastperiod', 3), ('slowperiod', 10)])
OBV	On Balance Volume		Volume Indicators	OrderedDict([('price', 'close'), ('prices', ['volume'])])	OrderedDict([('real', ['Line'])])	['real']	OrderedDict()
